year,importer1,importer2,flow1,flow2
2005,Murder,Murder,959,0
2005,Murder,NegManslaughter,26,56
2005,Murder,RapeSexAssault,87,172
2005,Murder,Robbery,218,811
2005,Murder,Assault,584,1052
2005,Murder,OtherViolent,110,168
2005,Murder,Burglary,230,656
2005,Murder,Larceny,171,295
2005,Murder,AutoTheft,82,398
2005,Murder,Fraud,74,100
2005,Murder,OtherProperty,97,232
2005,Murder,Drugs,1156,2001
2005,Murder,PublicOrder,813,1416
2005,Murder,Other,18,61
2005,Murder,None,36511,0
2005,NegManslaughter,NegManslaughter,230,0
2005,NegManslaughter,RapeSexAssault,40,31
2005,NegManslaughter,Robbery,69,103
2005,NegManslaughter,Assault,221,197
2005,NegManslaughter,OtherViolent,55,37
2005,NegManslaughter,Burglary,110,125
2005,NegManslaughter,Larceny,73,83
2005,NegManslaughter,AutoTheft,35,53
2005,NegManslaughter,Fraud,36,36
2005,NegManslaughter,OtherProperty,50,52
2005,NegManslaughter,Drugs,400,389
2005,NegManslaughter,PublicOrder,614,268
2005,NegManslaughter,Other,14,9
2005,NegManslaughter,None,14423,0
2005,RapeSexAssault,RapeSexAssault,5018,0
2005,RapeSexAssault,Robbery,401,680
2005,RapeSexAssault,Assault,1143,932
2005,RapeSexAssault,OtherViolent,319,257
2005,RapeSexAssault,Burglary,697,1130
2005,RapeSexAssault,Larceny,375,523
2005,RapeSexAssault,AutoTheft,156,299
2005,RapeSexAssault,Fraud,230,238
2005,RapeSexAssault,OtherProperty,282,320
2005,RapeSexAssault,Drugs,1655,1608
2005,RapeSexAssault,PublicOrder,4696,1344
2005,RapeSexAssault,Other,37,47
2005,RapeSexAssault,None,100680,0
2005,Robbery,Robbery,7646,0
2005,Robbery,Assault,3567,2279
2005,Robbery,OtherViolent,785,404
2005,Robbery,Burglary,3419,3444
2005,Robbery,Larceny,2840,2257
2005,Robbery,AutoTheft,1155,2018
2005,Robbery,Fraud,1011,656
2005,Robbery,OtherProperty,1006,970
2005,Robbery,Drugs,8349,6243
2005,Robbery,PublicOrder,5872,3541
2005,Robbery,Other,126,137
2005,Robbery,None,126977,0
2005,Assault,Assault,13794,0
2005,Assault,OtherViolent,1574,1536
2005,Assault,Burglary,3102,4835
2005,Assault,Larceny,2105,2960
2005,Assault,AutoTheft,1097,1927
2005,Assault,Fraud,906,1004
2005,Assault,OtherProperty,1370,1909
2005,Assault,Drugs,8625,10981
2005,Assault,PublicOrder,9201,8195
2005,Assault,Other,154,249
2005,Assault,None,161903,0
2005,OtherViolent,OtherViolent,1382,0
2005,OtherViolent,Burglary,671,959
2005,OtherViolent,Larceny,398,526
2005,OtherViolent,AutoTheft,233,418
2005,OtherViolent,Fraud,175,216
2005,OtherViolent,OtherProperty,332,355
2005,OtherViolent,Drugs,1843,2190
2005,OtherViolent,PublicOrder,1827,1608
2005,OtherViolent,Other,137,39
2005,OtherViolent,None,41869,0
2005,Burglary,Burglary,22823,0
2005,Burglary,Larceny,6620,5758
2005,Burglary,AutoTheft,2342,2768
2005,Burglary,Fraud,2147,2064
2005,Burglary,OtherProperty,3230,3005
2005,Burglary,Drugs,11965,10167
2005,Burglary,PublicOrder,8230,4758
2005,Burglary,Other,214,221
2005,Burglary,None,184703,0
2005,Larceny,Larceny,19460,0
2005,Larceny,AutoTheft,1349,1562
2005,Larceny,Fraud,2524,2454
2005,Larceny,OtherProperty,1482,1407
2005,Larceny,Drugs,8530,8759
2005,Larceny,PublicOrder,4619,3193
2005,Larceny,Other,66,96
2005,Larceny,None,104209,0
2005,AutoTheft,AutoTheft,3890,0
2005,AutoTheft,Fraud,630,545
2005,AutoTheft,OtherProperty,823,1034
2005,AutoTheft,Drugs,4173,3315
2005,AutoTheft,PublicOrder,3491,1957
2005,AutoTheft,Other,24,64
2005,AutoTheft,None,52053,0
2005,Fraud,Fraud,6896,0
2005,Fraud,OtherProperty,1053,971
2005,Fraud,Drugs,3875,4097
2005,Fraud,PublicOrder,2287,1797
2005,Fraud,Other,87,66
2005,Fraud,None,62379,0
2005,OtherProperty,OtherProperty,5379,0
2005,OtherProperty,Drugs,4187,3903
2005,OtherProperty,PublicOrder,3427,2371
2005,OtherProperty,Other,185,157
2005,OtherProperty,None,55796,0
2005,Drugs,Drugs,108614,0
2005,Drugs,PublicOrder,24198,17886
2005,Drugs,Other,538,679
2005,Drugs,None,529304,0
2005,PublicOrder,PublicOrder,39438,0
2005,PublicOrder,Other,367,465
2005,PublicOrder,None,248495,0
2005,Other,Other,478,0
2005,Other,None,11081,0
